Rank,Video Game,Platform,Year,Genre,Publisher,North American Sales,EU Sales,Japan Sales,Other Sales,World Sales
5174,Resident Evil Zero,PS4,2016,Action,Capcom,0.09,0.17,0.05,0.05,0.36
5270,Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.23,0.09,0,0.03,0.35
5290,Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.16,0.1,0.07,0.03,0.35
5385,LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.03,0.34
5428,Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.34,0,0.34
5501,Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.1,0.18,0,0.05,0.33
5597,LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0,0.03,0.32
5623,TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.24,0,0.05,0.32
5635,DiRT Rally,PS4,2016,Racing,Codemasters,0.03,0.24,0,0.05,0.32
5663,Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.1,0.14,0.02,0.06,0.32
5698,LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.17,0,0.05,0.32
5731,Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.05,0.19,0.03,0.04,0.31
5924,Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.06,0.07,0.14,0.02,0.3
5931,Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0,0,0.3,0,0.3
6089,World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.12,0,0.02,0.29
6126,One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
6138,Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28
6159,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.19,0.06,0,0.03,0.28
